t_sf,t_sf_sd,tau,tau_sd,A,A_sd,x,x_sd,id,id_sd,source_dataset,cumulative_step,model,base_group
10.700624916666667,2.2837420060182265,2.9797238316666665,0.9897329054074951,605374778.4166666,43309128.65210223,3.77046655375,0.5958203829902532,3402,0,Hec_2-10,1,uni,WholeHEC-2Mpc
10.7209814125,2.1918389097171893,2.5149059104166667,0.7331139373519657,2635076.316666667,95414.4836153202,4.399886209583333,0.5336916176465516,4096,0,Hec_2-10,1,uni,WholeHEC-2Mpc
10.207207744166666,2.0818464604475913,11.794964671666667,4.940527804577356,10778683226.666666,5688733828.252443,1.0479891268333332,0.5014082638631321,4407,0,Hec_2-10,1,uni,WholeHEC-2Mpc
10.964404794166668,2.270586959564879,4.728758607916666,2.2567620432096023,3404658.5304166665,1126894.911754153,2.6255227085,0.7096572895703085,4495,0,Hec_2-10,1,uni,WholeHEC-2Mpc
10.7336055375,2.1417592759858284,2.2250674820833334,0.6005895980068869,900918.9785,19712.29625839614,4.938943243333333,0.4977199635828317,5766,0,Hec_2-10,1,uni,WholeHEC-2Mpc
11.229732444166666,2.1254834161637697,8.220539742916667,4.321505560233111,24503459.523333333,13461937.939378109,1.699030766,0.7025995597577646,5839,0,Hec_2-10,1,uni,WholeHEC-2Mpc
10.766027737916666,2.2796561862919207,3.353863488333334,1.1976491154631597,2736784.118333333,302299.68727412913,3.412456677625,0.6196973094594119,5898,0,Hec_2-10,1,uni,WholeHEC-2Mpc
9.2243208,2.011132994685814,12.096816064166669,4.977133809745331,7256384.114583333,4016616.436483926,0.9202239501666668,0.44842398897494057,6107,0,Hec_2-10,1,uni,WholeHEC-2Mpc
10.752514772916667,2.120152574298839,2.1137491516666667,0.5542424438965146,82988421.78333333,1469083.1249371103,5.194574795416667,0.4853790159823451,6648,0,Hec_2-10,1,uni,WholeHEC-2Mpc
10.727727770833331,2.2604333205995446,2.88053259375,0.9267186500322736,58487212.12083333,3673099.832032204,3.8922579220833335,0.5806102734708158,6696,0,Hec_2-10,1,uni,WholeHEC-2Mpc
10.721226594583332,2.2785542990974994,3.1836612516666665,1.103539643158241,1184838.41125,109202.20058415591,3.5608524995833335,0.6110343527382269,7016,0,Hec_2-10,1,uni,WholeHEC-2Mpc
11.169507178333332,1.7129669857923018,1.5679918058333333,0.2913763322826076,48421504.770833336,382921.78679739026,7.17470620625,0.37784982123969624,7397,0,Hec_2-10,1,uni,WholeHEC-2Mpc
10.393437740416667,2.0717335955423666,11.66759554125,4.945591315079349,196319444300,102707192460.99898,1.0809250422916667,0.5131293005266203,7882,0,Hec_2-10,1,uni,WholeHEC-2Mpc
10.701856884583334,2.143630091986043,2.1712357270833333,0.5842371864884226,5725368.891666667,115508.5055732149,5.04296839375,0.4965451446380213,8592,0,Hec_2-10,1,uni,WholeHEC-2Mpc
10.975354745,2.278776981282762,4.838941694583333,2.3580113332357686,13963030292.916666,4836237289.527846,2.5854044364583335,0.7195325782599447,8782,0,Hec_2-10,1,uni,WholeHEC-2Mpc
11.217675816666668,2.1643389133769633,7.314703975833333,3.958605141240077,544980815.0416666,296650570.12009704,1.888438453375,0.7280770207370656,9250,0,Hec_2-10,1,uni,WholeHEC-2Mpc
10.935870435416666,2.283312622896158,4.507366288333333,2.1285750535364194,14575520.1875,4591359.308228367,2.727210026083333,0.7048761627715215,9733,0,Hec_2-10,1,uni,WholeHEC-2Mpc
