t_sf,t_sf_sd,tau,tau_sd,A,A_sd,x,x_sd,id,id_sd,source_dataset,cumulative_step,model,base_group
13.218765070833332,0.3002164360602586,3.9821442966666662,0.4820133013244198,630097901.1666666,36712336.64184248,3.364558396666667,0.38373348038755334,3402,0,Hec_2-10,2,skew,WholeHEC-2Mpc
13.237635141666669,0.2890148908064417,3.405629815,0.368427645132046,2721075.4858333333,104103.49401108825,3.9286744475,0.3974599159959245,4096,0,Hec_2-10,2,skew,WholeHEC-2Mpc
12.954984266666669,0.3960391510133094,6.200995882916667,0.6692102697490412,3602569622.9166665,342707522.3221899,2.1125044175,0.22753551326428997,4407,0,Hec_2-10,2,skew,WholeHEC-2Mpc
13.158637441666666,0.32104587723629996,4.938385830416666,0.6090746850908375,3069607.9254166665,251772.4157692939,2.70319777875,0.32366987791926705,4495,0,Hec_2-10,2,skew,WholeHEC-2Mpc
13.245061283333332,0.28574371805553905,2.98479363375,0.2756252436446342,919682.6666666666,22088.65854729314,4.471742205833333,0.3841917431911744,5766,0,Hec_2-10,2,skew,WholeHEC-2Mpc
13.090224829166669,0.35098989305245226,5.542185825,0.6476946763212458,13833245.129166666,1246779.8149161683,2.3929621641666667,0.2762268197574494,5839,0,Hec_2-10,2,skew,WholeHEC-2Mpc
13.2049258375,0.304940468183088,4.304406644166667,0.5268921492325795,2818900.94875,187921.49516212445,3.110778075,0.3625544999556103,5898,0,Hec_2-10,2,skew,WholeHEC-2Mpc
12.894853954166669,0.4073173784200469,6.41993518625,0.6729370303104868,2051787.764166667,196181.1450939662,2.0296373520833333,0.21254084807148677,6107,0,Hec_2-10,2,skew,WholeHEC-2Mpc
13.24558105,0.2864183027253493,2.81061117125,0.24132739141558504,84324071.90416667,1639756.3058869916,4.743735804583333,0.3757854827135136,6648,0,Hec_2-10,2,skew,WholeHEC-2Mpc
13.2220304375,0.29706420149349416,3.864836513333333,0.4588874028939802,60873268.2375,3275424.876007283,3.46575606875,0.3877294182011108,6696,0,Hec_2-10,2,skew,WholeHEC-2Mpc
13.211082383333334,0.2981414787222816,4.17990307125,0.511451545975822,1229197.3529166668,78773.1142054118,3.204938250416667,0.3736029773848696,7016,0,Hec_2-10,2,skew,WholeHEC-2Mpc
13.244852533333331,0.2847470664406849,1.93380497,0.10525171831063412,48513815.791666664,390723.82250555354,6.865429505833333,0.32645371347035157,7397,0,Hec_2-10,2,skew,WholeHEC-2Mpc
12.970026,0.389593214422039,6.148469520833333,0.675438857506582,68118074954.166664,6473752835.0070505,2.1338279020833335,0.23284319432034184,7882,0,Hec_2-10,2,skew,WholeHEC-2Mpc
13.245294658333334,0.28476383917784265,2.9200224316666668,0.2651176649552797,5836676.1970833335,131342.649149006,4.56961594375,0.3834148453170552,8592,0,Hec_2-10,2,skew,WholeHEC-2Mpc
13.156994195833333,0.3231835521424483,4.961444505,0.6102439942486132,12399185320.833334,1023114472.197958,2.6901067608333333,0.32173488673496964,8782,0,Hec_2-10,2,skew,WholeHEC-2Mpc
13.103505620833332,0.3457551058543806,5.417793345833333,0.6391830267865464,345986708.25,30724181.753719117,2.4508376779166667,0.28375681190020136,9250,0,Hec_2-10,2,skew,WholeHEC-2Mpc
13.166956625,0.31878733942698145,4.861190888333334,0.6031293115114724,13471528.825,1090758.6389295617,2.7482104541666668,0.32995569065344743,9733,0,Hec_2-10,2,skew,WholeHEC-2Mpc
13.1896928875,0.31009003657719325,4.517789531666667,0.5635496795813011,5166473872.916667,378484269.61397934,2.9623461425,0.3542439181779765,10182,0,Hec_2-10,2,skew,WholeHEC-2Mpc
13.247038695833334,0.28415648227250284,2.062487355,0.12064517051182629,2142009.51875,18242.7399270477,6.441003410416666,0.3340405406853073,10189,0,Hec_2-10,2,skew,WholeHEC-2Mpc
13.050242529166669,0.3639936668788579,5.7527383854166665,0.6559434975871258,12444304.1625,1140284.2354525651,2.296786085416666,0.2583845172446868,10201,0,Hec_2-10,2,skew,WholeHEC-2Mpc
12.954889133333332,0.3990911723314719,6.2069211541666665,0.6691060180783903,1149604286.2916667,109061303.10292624,2.110291236666667,0.22598793409706755,10283,0,Hec_2-10,2,skew,WholeHEC-2Mpc
13.244162983333334,0.2854051806008658,2.89450017375,0.2605742052530989,4253427.822916667,92851.55203703362,4.608987640833333,0.3843458715476747,10624,0,Hec_2-10,2,skew,WholeHEC-2Mpc
13.246004233333334,0.2850560619910561,2.5131246720833333,0.18760597469050205,2882404.9558333335,37334.82930389996,5.29640910125,0.3608530468544142,11575,0,Hec_2-10,2,skew,WholeHEC-2Mpc
13.1772878,0.31404740912022444,4.721815145,0.5759213146871572,469536049,35819590.00763798,2.830242035,0.3345028670567887,11896,0,Hec_2-10,2,skew,WholeHEC-2Mpc
13.247227254166669,0.2839683460429322,2.02612878625,0.11623248420524272,3392552.68875,28029.162766334655,6.555836513333333,0.3317542101061391,12001,0,Hec_2-10,2,skew,WholeHEC-2Mpc
13.113493275,0.33948386283615106,5.338743547083333,0.6342833233744486,7149872515.833333,624889729.4855412,2.489580912916667,0.29067112599085404,12145,0,Hec_2-10,2,skew,WholeHEC-2Mpc
13.06525205,0.3587389665797683,5.6911098225,0.6548458713608392,1388472920.4166667,127164752.89324252,2.324986953333333,0.2647634228965653,12255,0,Hec_2-10,2,skew,WholeHEC-2Mpc
13.245396745833334,0.28337616562376744,3.032016216666667,0.2863761800140211,19756157341.666668,508221067.8574586,4.403713470833333,0.38560679405013176,12256,0,Hec_2-10,2,skew,WholeHEC-2Mpc
13.239152429166667,0.2890988831137336,3.33998498125,0.34940830087389113,81078789.2625,2891387.878023027,4.003288505,0.3895493364183297,12763,0,Hec_2-10,2,skew,WholeHEC-2Mpc
12.792107658333334,0.4273516028725096,6.700924758333334,0.6783197887998352,132348153195.83331,12867980311.388563,1.9276421525,0.1963438339259434,12769,0,Hec_2-10,2,skew,WholeHEC-2Mpc
13.246570404166668,0.2840571174498518,2.1869846516666667,0.13783287156631216,1524161711.6666667,13908405.73513434,6.07729680375,0.3430847344646034,13048,0,Hec_2-10,2,skew,WholeHEC-2Mpc
13.245669316666667,0.2831192516808263,2.8803992879166667,0.25438397380553307,2383544.4070833335,50120.264261013726,4.630656693333333,0.3769592677973953,13091,0,Hec_2-10,2,skew,WholeHEC-2Mpc
13.2222413375,0.29456666452314,3.988238640416667,0.47600641345910416,16515379.566666666,948183.2542548396,3.3592653925,0.3794767088349347,13295,0,Hec_2-10,2,skew,WholeHEC-2Mpc
13.243704016666667,0.28432870619569,3.114468355,0.3043543824467328,2641518270.4166665,74690835.14979163,4.289152605833333,0.38955607597796293,13353,0,Hec_2-10,2,skew,WholeHEC-2Mpc
